Processed 975, Round: 0, Time: 647.58s
Processed 847, Round: 2, Time: 216.08s
Processed 365, Round: 57, Time: 11.17s
Processed 815, Round: 28, Time: 22.49s
Processed 287, Round: 2, Time: 218.41s
Processed 630, Round: 30, Time: 21.15s
Processed 90, Round: 25, Time: 25.29s
Processed 365, Round: 58, Time: 11.17s
Processed 430, Round: 2, Time: 221.54s
Processed 338, Round: 18, Time: 35.02s
Processed 393, Round: 4, Time: 133.34s
Processed 154, Round: 15, Time: 41.75s
Processed 548, Round: 2, Time: 222.82s
Processed 930, Round: 8, Time: 74.48s
Processed 365, Round: 59, Time: 11.17s
Processed 815, Round: 29, Time: 22.49s
Processed 630, Round: 31, Time: 21.14s
Processed 175, Round: 1, Time: 340.03s
Processed 365, Round: 60, Time: 11.17s
Processed 90, Round: 26, Time: 25.29s
Processed 996, Round: 0, Time: 686.56s
Processed 113, Round: 7, Time: 86.05s
Processed 682, Round: 1, Time: 345.53s
Processed 919, Round: 12, Time: 53.19s
Processed 250, Round: 3, Time: 172.97s
Processed 174, Round: 1, Time: 346.33s
Processed 365, Round: 61, Time: 11.18s
Processed 321, Round: 0, Time: 696.23s
Processed 970, Round: 0, Time: 696.58s
Processed 815, Round: 30, Time: 22.48s
Processed 630, Round: 32, Time: 21.15s
Processed 338, Round: 19, Time: 35.02s
Processed 702, Round: 5, Time: 116.85s
Processed 940, Round: 1, Time: 350.72s
Processed 365, Round: 62, Time: 11.16s
Processed 90, Round: 27, Time: 25.29s
Processed 513, Round: 3, Time: 177.21s
Processed 568, Round: 2, Time: 236.61s
Processed 154, Round: 16, Time: 41.76s
Processed 916, Round: 2, Time: 237.24s
Processed 365, Round: 63, Time: 11.17s
Processed 641, Round: 1, Time: 357.86s
Processed 993, Round: 2, Time: 239.10s
Processed 630, Round: 33, Time: 21.14s
Processed 815, Round: 31, Time: 22.48s
Processed 855, Round: 0, Time: 723.73s
Processed 365, Round: 64, Time: 11.19s
Processed 559, Round: 1, Time: 364.28s
Processed 24, Round: 2, Time: 243.21s
Processed 403, Round: 0, Time: 730.13s
Processed 772, Round: 0, Time: 731.98s
Processed 90, Round: 28, Time: 25.30s
Processed 803, Round: 3, Time: 183.75s
Processed 338, Round: 20, Time: 35.03s
Processed 361, Round: 7, Time: 92.22s
Processed 365, Round: 65, Time: 11.16s
Processed 630, Round: 34, Time: 21.15s
Processed 815, Round: 32, Time: 22.50s
Processed 919, Round: 13, Time: 53.18s
Processed 930, Round: 9, Time: 74.48s
Processed 365, Round: 66, Time: 11.18s
Processed 154, Round: 17, Time: 41.76s
Processed 889, Round: 0, Time: 752.40s
Processed 733, Round: 0, Time: 754.88s
Processed 90, Round: 29, Time: 25.29s
Processed 365, Round: 67, Time: 11.17s
Processed 630, Round: 35, Time: 21.16s
Processed 815, Round: 33, Time: 22.50s
Processed 140, Round: 1, Time: 382.42s
Processed 338, Round: 21, Time: 35.02s
Processed 365, Round: 68, Time: 11.16s
Processed 687, Round: 0, Time: 771.68s
Processed 873, Round: 1, Time: 386.98s
Processed 113, Round: 8, Time: 86.05s
Processed 276, Round: 1, Time: 391.09s
Processed 365, Round: 69, Time: 11.17s
Processed 630, Round: 36, Time: 21.15s
Processed 90, Round: 30, Time: 25.30s
Processed 155, Round: 1, Time: 393.39s
Processed 815, Round: 34, Time: 22.48s
Processed 154, Round: 18, Time: 41.77s
Processed 365, Round: 70, Time: 11.16s
Processed 181, Round: 0, Time: 793.74s
Processed 577, Round: 1, Time: 397.76s
Processed 919, Round: 14, Time: 53.19s
Processed 393, Round: 5, Time: 133.34s
Processed 630, Round: 37, Time: 21.15s
Processed 365, Round: 71, Time: 11.17s
Processed 338, Round: 22, Time: 35.03s
Processed 25, Round: 0, Time: 808.78s
Processed 90, Round: 31, Time: 25.31s
Processed 815, Round: 35, Time: 22.48s
